iter	Passed	Remaining
771	17227	5087
772	17241	5063
773	17261	5040
774	17284	5018
775	17302	4994
776	17330	4973
777	17353	4951
778	17381	4931
779	17413	4911
780	17432	4888
781	17455	4866
782	17471	4842
783	17492	4819
784	17507	4794
785	17519	4769
786	17540	4747
787	17559	4723
788	17579	4701
789	17593	4676
790	17611	4653
791	17632	4630
792	17653	4608
793	17662	4582
794	17683	4559
795	17704	4537
796	17719	4513
797	17755	4494
798	17785	4474
799	17812	4453
800	17850	4434
801	17879	4414
802	17908	4393
803	17962	4378
804	17982	4356
805	18007	4334
806	18024	4310
807	18054	4290
808	18101	4273
809	18112	4248
810	18155	4231
811	18160	4204
812	18189	4183
813	18197	4158
814	18235	4139
815	18265	4118
816	18285	4095
817	18313	4074
818	18325	4049
819	18331	4023
820	18354	4001
821	18383	3980
822	18414	3960
823	18442	3939
824	18476	3919
825	18496	3896
826	18519	3874
827	18535	3850
828	18555	3827
829	18573	3804
830	18615	3785
831	18650	3765
832	18712	3751
833	18770	3736
834	18833	3721
835	18865	3700
836	18890	3678
837	18920	3657
838	18950	3636
839	18971	3613
840	18998	3591
841	19016	3568
842	19029	3544
843	19066	3524
844	19102	3503
845	19141	3484
846	19171	3463
847	19203	3442
848	19246	3423
849	19275	3401
850	19300	3379
851	19335	3358
852	19364	3337
853	19396	3315
854	19422	3293
855	19459	3273
856	19490	3252
857	19532	3232
858	19565	3211
859	19598	3190
860	19624	3168
861	19648	3145
862	19680	3124
863	19711	3102
864	19748	3082
865	19771	3059
866	19787	3035
867	19811	3012
868	19830	2989
869	19854	2966
870	19871	2943
871	19890	2919
872	19910	2896
873	19918	2871
874	19929	2847
875	19946	2823
876	19967	2800
877	19986	2777
878	20009	2754
879	20039	2732
880	20058	2709
881	20078	2686
882	20099	2663
883	20117	2639
884	20133	2616
885	20153	2593
886	20168	2569
887	20188	2546
888	20207	2523
889	20217	2498
890	20228	2474
891	20244	2451
892	20264	2428
893	20284	2405
894	20298	2381
895	20325	2359
896	20353	2337
897	20380	2314
898	20404	2292
899	20440	2271
900	20465	2248
901	20485	2225
902	20515	2203
903	20531	2180
904	20542	2156
905	20567	2133
906	20596	2111
907	20616	2088
908	20640	2066
909	20664	2043
910	20687	2021
911	20713	1998
912	20729	1975
913	20752	1952
914	20780	1930
915	20804	1907
916	20832	1885
917	20871	1864
918	20896	1841
919	20927	1819
920	20961	1797
921	20972	1774
922	20991	1751
923	21014	1728
924	21040	1705
925	21061	1683
926	21081	1660
927	21105	1637
928	21126	1614
929	21154	1592
930	21176	1569
931	21197	1546
932	21223	1524
933	21252	1501
934	21273	1478
935	21298	1456
936	21313	1433
937	21337	1410
938	21354	1387
939	21374	1364
940	21388	1341
941	21411	1318
942	21421	1294
943	21443	1272
944	21459	1248
945	21466	1225
946	21482	1202
947	21491	1178
948	21495	1155
949	21509	1132
950	21532	1109
951	21554	1086
952	21588	1064
953	21614	1042
954	21640	1019
955	21675	997
956	21692	974
957	21717	952
958	21740	929
959	21770	907
960	21800	884
961	21824	862
962	21855	839
963	21881	817
964	21901	794
965	21919	771
966	21940	748
967	21961	725
968	21980	703
969	21996	680
970	22014	657
971	22033	634
972	22046	611
973	22063	588
974	22070	565
975	22089	543
976	22107	520
977	22129	497
978	22149	475
979	22170	452
980	22179	429
981	22197	406
982	22216	384
983	22239	361
984	22258	338
985	22276	316
986	22291	293
987	22307	270
988	22318	248
989	22337	225
990	22353	203
991	22374	180
992	22393	157
993	22415	135
994	22444	112
995	22459	90
996	22467	67
997	22486	45
998	22491	22
999	22510	0
